当前数据库信息：
jdbc:oracle:thin:@192.168.10.106:1521:orcl, scjm2, scjm2
==================


1、数据库实例信息

startup_time, instance_name, host_name, version

2015-11-30, orcl, localhost.localdomain, 11.2.0.3.0


2、安装环境信息

version_time, database_role, resetlogs_change#, open_resetlogs, protection_level, standby_became_primary_scn, db_unique_name, supplemental_log_data_fk, archive_change#, activation#, platform_id, platform_name, created, controlfile_type, name, log_mode, dbid, current_scn, controlfile_time, flashback_on, fs_failover_status, supplemental_log_data_min, dataguard_broker, supplemental_log_data_all, archivelog_change#, controlfile_converted, guard_status, controlfile_change#, resetlogs_time, supplemental_log_data_pl, supplemental_log_data_pk, archivelog_compression, last_open_incarnation#, switchover_status, checkpoint_change#, recovery_target_incarnation#, protection_mode, open_mode, remote_archive, prior_resetlogs_time, supplemental_log_data_ui, fs_failover_threshold, force_logging, controlfile_sequence#, switchover#, prior_resetlogs_change#, controlfile_created

2014-07-09, PRIMARY, 995548, NOT ALLOWED, UNPROTECTED, 0, orcl, NO, 43050866, 1380247339, 13, Linux x86 64-bit, 2014-07-09, CURRENT, ORCL, NOARCHIVELOG, 1380260907, 43110179, 2016-01-15, NO, DISABLED, NO, DISABLED, NO, 0, NO, NONE, 43110154, 2014-07-09, NO, NO, DISABLED, 2, NOT ALLOWED, 43091204, 2, MAXIMUM PERFORMANCE, READ WRITE, ENABLED, 2011-09-17, NO, 0, NO, 222131, 1380247339, 1, 2014-07-09


3、数据库产品信息

product, status, version

NLSRTL, Production, 11.2.0.3.0

Oracle Database 11g Enterprise Edition, 64bit Production, 11.2.0.3.0

PL/SQL, Production, 11.2.0.3.0

TNS for Linux:, Production, 11.2.0.3.0


4、数据库安装配置信息

parameter, value

Advanced Compression, TRUE

XStream, TRUE

Deferred Segment Creation, TRUE


5、获取用户表信息

TBPM_TRANSACTION_SQL, 28104

QI71, 14482

T_MS_03, 14076

TBPM_TASK, 9898

TALOGINHISTORYLOG, 5931

TAORGOPLOG, 4763

TAUSERPOSITION, 4560

T_RP_15, 3384

TAUSER, 2501

TBPM_TASK_HIS, 2452

TAPOSITION, 2395

TBPM_PROC_RUN_TRACE, 2320

TAPOSITIONAUTHRITY, 1934

T_EP_01, 1897

QUEST_SOO_EVENT_CATEGORIES, 1682

AA10, 1558

T_CATEGORY_01, 1423

TAONLINELOG, 1242

TBPM_PROC_RUN_TRACE_HIS, 1228

TBPM_PROC_RUN, 859

TBPM_TRANSACTION_LOG, 747

T_PA_11, 667

T_CATEGORY_02, 551

T_AT_02, 544

TAORGMG, 539

QI70, 384

TAMENU, 382

T_PJ16_05, 351

T_PJ16_12, 351

T_PJ16_13, 342

TAORG, 257

T_PJ16_04, 234

T_PJ_01, 229

QI72, 226

T_REGION_01, 204

T_EA_01, 196

T_AT_01, 154

T_RP_12, 144

T_PA_03, 140

T_CM_03, 139

T_MS_05, 138

T_NEWS_03, 123

T_PJ17_09, 120

T_PJ05_04, 120

T_MS_06, 111

T_NEWS_02, 91

T_PA_06, 90

T_NEWS_01, 90

T_PJ19_02, 90

TBPM_NODE_DEF, 89

T_PA_02, 74

T_PJ17_04, 70

T_EA_03, 59

T_PJ15_03, 56

T_PJ12_07, 54

TBPM_AA10, 52

T_PJ16_07, 51

T_PJ13_03, 50

TACONFIG, 48

T_EG_06, 47

T_PJ17_08, 43

XMBHLSB, 43

T_EG_03, 41

T_PJ17_01, 40

T_PJ17_06, 39

T_PJ16_03, 37

T_NL_02, 37

T_RP_20, 36

T_EA_02, 35

T_PJ19_03, 33

T_PA_04, 33

T_ER_06, 32

T_PJ17_05, 32

T_PJ04_03, 30

T_PJ19_01, 30

TBPM_EXEC_RULE, 30

T_PJ02_04, 30

T_PJ16_11, 30

T_PP_04, 30

T_ER_01, 28

ATTACHMENT, 28

T_PJ16_09, 28

T_PJ09_03, 28

T_PJ05_09, 27

T_PJ05_11, 27

T_ER_07, 26

T_PJ13_01, 26

T_PJ17_13, 26

T_ER_05, 26

T_PJ20_06, 26

T_ER_03, 26

T_PJ13_04, 25

T_PJ13_06, 25

T_RP_13, 25

T_PJ17_12, 23

T_EA_04, 23

T_PJ12_01, 22

T_PS_03, 21

T_ER_02, 21

T_EG_05, 21

TBPM_FORM, 21

T_EG_01, 21

T_PJ17_07, 21

STUDENT, 21

T_PJ12_02, 20

XX, 20

T_PJ17_14, 20

T_PJ17_02, 20

T_MS_01, 20

T_ER_08, 20

SC, 19

T_PJ05_14, 19

T_EG_02, 19

T_PJ17_10, 19

T_PJ03_08, 18

TBPM_EXEC_USER, 18

T_PA_01, 18

T_EG_04, 17

T_PJ03_03, 17

T_ER_04, 16

T_PJ17_15, 16

T_PA_08, 16

T_PJ05_05, 15

T_PJ08_05, 15

T_PJ03_02, 15

T_PJ17_11, 15

T_PJ15_10, 15

T_PJ12_13, 15

T_PJ15_01, 15

T_PJ03_01, 15

T_PJ15_08, 14

T_PJ10_04, 14

T_PJ03_12, 14

T_PJ03_11, 14

T_PJ03_06, 14

T_PJ03_10, 14

T_PJ03_05, 14

T_PJ15_14, 14

T_PJ15_13, 14

QI77, 14

T_PJ03_04, 14

T_PJ15_12, 14

T_PJ15_07, 14

T_PJ03_09, 14

T_PJ03_07, 14

T_PJ12_08, 14

T_PA_05, 13

T_PJ12_11, 13

T_PJ12_10, 13

T_CM_02, 13

T_PJ12_09, 13

T_PJ12_06, 12

T_PJ14_07, 12

T_PJ16_27, 12

T_SP_01, 12

T_PJ20_05, 12

T_RP_16, 12

T_PA_15, 12

T_PJ21_04, 12

T_PJ14_03, 12

T_PJ14_05, 12

T_PJ05_15, 11

T_PJ05_07, 11

T_PJ05_10, 11

T_PJ04_02, 11

T_PJ18_01, 11

T_PJ18_02, 11

T_PJ04_01, 11

T_PJ02_01, 10

T_PJ17_16, 10

T_PJ02_03, 10

T_FA_02, 10

T_PJ17_17, 10

T_PJ02_05, 10

T_PJ10_01, 10

T_PJ05_02, 10

T_PJ05_08, 10

T_PJ08_10, 10

T_PJ05_13, 10

T_PJ05_03, 10

T_PJ02_02, 10

T_PJ05_01, 10

T_PJ05_12, 10

T_PJ16_10, 10

T_PJ16_14, 10

TBPM_ACTION, 10

T_PJ02_06, 10

T_PJ16_19, 9

T_PJ07_03, 9

T_PJ05_06, 9

T_PJ05_16, 9

T_PA_10, 9

T_CM_01, 9

T_PJ21_03, 9

T_PJ05_17, 9

T_MS_04, 9

T_PJ16_26, 9

T_ER_09, 8

T_PJ09_09, 8

T_PJ17_23, 8

T_PJ14_04, 8

T_PJ17_18, 8

T_PJ17_19, 8

T_PJ09_07, 7

T_PJ12_14, 7

T_PJ08_07, 7

T_PJ08_01, 7

T_PJ20_01, 7

T_PJ09_05, 7

T_PJ09_01, 7

T_PJ08_09, 7

T_PJ11_01, 7

T_PJ08_08, 7

QI79, 7

T_VF_01, 7

T_PJ08_02, 7

T_PJ09_02, 7

T_PJ12_03, 6

T_RP_18, 6

T_PJ10_08, 6

AAA0, 6

T_PJ21_01, 6

T_PJ12_15, 6

T_PJ21_02, 6

T_PA_14, 6

QI76, 6

COURSE, 5

T_RP_19, 5

T_RP_17, 5

T_MS_02, 5

TAORG_BAK, 5

T_PJ10_02, 5

T_PJ11_05, 5

T_PJ05_18, 5

T_PJ08_06, 5

T_PJ08_11, 5

T_PJ10_03, 5

T_PJ11_04, 5

T_PJ07_13, 5

T_PJ12_12, 5

T_PA_09, 5

T_PJ14_01, 5

T_PJ06_01, 4

T_PJ07_10, 4

T_PJ14_06, 4

TBPM_PROC_DEF, 4

T_PJ06_02, 4

QI82, 4

T_PJ19_04, 4

TEACHER, 4

T_PJ03_17, 3

T_PJ07_05, 3

T_PJ07_12, 3

T_PJ07_04, 3

T_PJ16_16, 3

T_PJ07_08, 3

T_PJ08_04, 3

T_PJ03_16, 3

T_PJ07_09, 3

T_PJ10_05, 3

T_PJ07_06, 3

T_PJ10_07, 3

T_PJ08_03, 3

T_PJ07_02, 3

T_FA_01, 3

T_PA_12, 3

T_PP_01, 3

T_PJ07_01, 3

T_PJ16_25, 3

T_PJ03_14, 3

T_PJ07_07, 3

T_PJ07_11, 3

T_PJ09_10, 3

T_PJ03_15, 3

T_PJ10_06, 3

T_PJ03_13, 3

T_PJ20_09, 2

T_PJ20_08, 2

T_PJ17_22, 2

T_PJ11_03, 2

T_AT_04, 2

T_PJ20_07, 2

T_PJ20_04, 2

T_PJ17_24, 2

T_AT_03, 2

T_PJ20_03, 2

T_PJ10_10, 2

T_PJ16_08, 2

T_PJ20_02, 2

T_PJ17_26, 2

T_PJ10_11, 2

T_PJ17_25, 2

T_PJ10_09, 2

T_PJ11_02, 2

T_PJ16_01, 2

T_PJ16_02, 2

T_PJ16_06, 2

T_PJ16_15, 1

T_PJ16_18, 1

QUEST_SOO_SCHEMA_VERSIONS, 1

QUEST_SOO_PARSE_TIME_TRACK, 1

T_PJ16_28, 1

T_PJ16_17, 1

T_PS_HEADER, 1

TASHAREPOSITION, 1

TALOCALCACHEVERSION, 1

TACONSOLEMODULELOCATION, 1

TACONFIGSYSPATH, 1

QUEST_SOO_VERSION, 1


6、获取所有列表字段描述

table_name, column_name, comments

T_PJ06_01, PJ0601023, 负债总额（截至上年年末项目单位基本情况）

T_PJ06_01, PJ0601024, 上缴税额（截至上年年末项目单位基本情况）

T_PJ06_01, PJ0601026, 公司网址

T_PJ06_01, PJ0601027, 企业负责人

T_PJ06_01, PJ0601028, 企业负责人联系电话

T_PJ06_01, PJ0601029, 信息化负责人

T_PJ06_01, PJ0601030, 信息化负责人联系电话

T_PJ06_01, PJ0601031, 调研协助人

T_PJ06_01, PJ0601034, 调研协助人传真

T_PJ06_01, PJ0601035, 调研协助人邮箱

T_PJ06_01, PJB0601036, 经济类型

T_PJ06_01, PJB0601047, 7+3产业类型

T_PJ06_01, PJB0601038, 主营行业类-是否属于7+3产业

T_PJ06_01, PJB0601039, 主营方式

T_PJ06_01, PJ0601040, 其他主营方式

T_PJ06_01, PJB0601041, 公司成立时间

T_PJ06_01, PJB0601042, 年销售额范围

T_PJ06_01, PJ0601046, 其他实现企业信息化希望解决的实际问题

T_PJ06_01, PJB0601048, 企业人数范围

T_PJ06_01, PJB0601049, 资产总额范围

T_PJ06_01, PJ0601050, 组织机构代码

T_PJ06_02, PJ0602001, 流水号

T_PJ06_02, PJ000, 项目流水号

T_PJ06_02, PJ0602002, 项目名称

T_PJ06_02, PJB0602003, 项目所属产业

T_PJ06_02, PJB0602004, 项目支持的方向

T_PJ06_02, PJ0602005, 主要内容

T_PJ06_02, PJ0602008, 计划总投资

T_PJ06_02, PJ0602009, 固定资产投资

T_PJ06_02, PJ0602010, 土建

T_PJ06_02, PJ0602011, 设备

T_PJ06_02, PJB0602012, 流动资金

T_PJ06_02, PJ0602013, 银行贷款（资金来源）

T_PJ06_02, PJ0602016, 专项补助额度（资金来源）

T_PJ06_02, PJ0602017, 贷款贴息额度（资金来源）

T_PJ06_02, PJ0602019, 起始时间（项目期限）

T_PJ06_02, PJ0602020, 完成时间（项目期限）

T_PJ06_02, PJ0602023, 新增销售收入（预计年增经济效益指标）

T_PJ06_02, PJ0602024, 新增利润（预计年增经济效益指标）

T_PJ06_02, PJ0602027, 其他产业

T_PJ06_05, PJ0605001, 流水号

T_PJ06_05, PJ000, 项目流水号

T_PJ06_05, PJB0605002, 部门

T_PJ06_05, PJ0605003, 信息化工作机构名称

T_PJ06_05, PJ0605004, 联系人

T_PJ06_05, PJ0605005, 联系电话

T_PJ06_05, PJB0605008, 信息化管理部门的职能

T_PJ06_05, PJ0605009, 信息化管理部门的电子邮箱

T_PJ06_05, PJB0605011, 是否设置CIO

T_PJ06_05, PJB0605012, 信息化主管领导的层级

T_PJ06_05, PJB0605013, 岗位类型

T_PJ06_05, PJ0605014, 专设岗位人数

T_PJ06_05, PJ0605015, 在岗人数

T_PJ06_05, PJ0605018, 本科学历所占比例

T_PJ06_05, PJ0605019, 高级职称人数

T_PJ06_05, PJ0605020, 中级职称人数

T_PJ06_05, PJ0605021, 初级职称人数

T_PJ06_05, PJ0605025, 信息化管理部门的其他职能

T_PJ06_06, PJ0606001, 流水号

T_PJ06_06, PJ000, 项目流水号

T_PJ06_06, PJB0606002, 企业是否有网络

T_PJ06_06, PJ0606003, 本地局域网类型

T_PJ06_06, PJ0606004, 局域网带宽

T_PJ06_06, PJ0606005, 电脑接入局域网的数量

T_PJ06_06, PJ0606008, 接入互联网带宽

T_PJ06_06, PJ0606009, 企业接入互联网方式

T_PJ06_06, PJB0606010, 是否有控制上互联网机制

T_PJ06_06, PJ0606012, 专用服务器主机数量

T_PJ06_06, PJB0606013, 服务器用途

T_PJ06_06, PJ0606014, 其他服务器用途

T_PJ06_07, PJ0607001, 流水号

T_PJ06_07, PJ0607003, 单体设备数量

T_PJ06_07, PJ0607004, 采集设备的数量

T_PJ06_07, PJ0607005, 一维条码设备的数量

T_PJ06_07, PJ0607008, 配备GPS/GPRS设备的运输车辆数量

T_PJ06_07, PJ0607009, 运输车辆总数

T_PJ06_07, PJ0607010, 联网数字化生产设备数量

T_PJ06_07, PJ0607014, 建立了二维数字化模型的产品占产品总数的比例

T_PJ06_07, PJB0607016, 是否能构建数字样机

T_PJ06_07, PJB0607017, 产品性能与功能数字化验证情况（流程行业）

T_PJ06_07, PJB0607020, 计算机辅助产品工艺规划和工装设计情况（离散行业）

T_PJ06_07, PJ0607021, 企业级生产计划与调度系统覆盖产品品种数占产品品种总数的比例

T_PJ06_07, PJB0607025, 生产制作现场物流管理精度

T_PJ06_07, PJ0607026, 上传到信息系统的计量和检化验数据占全部计量和检化验数据的比例

T_PJ06_07, PJ0607027, 上传到系统的质量检测数据占全部质量检测数据的比例

T_PJ06_08, PJ0608001, 流水号

T_PJ06_08, PJ000, 项目流水号

T_PJ06_08, PJ0608002, 年度

T_PJ06_08, PJ0608003, 信息化投入

T_PJ06_08, PJ0608004, 信息系统运维投入

T_PJ06_08, PJ0608006, 年度销售收入

T_PJ06_08, PJ0608007, 年度企业信息化投入与年度销售收入的比率

T_PJ06_09, PJ0609001, 流水号

T_PJ06_09, PJ000, 项目流水号

T_PJ06_09, PJB0609002, 企业是否建有网站

T_PJ06_09, PJB0609003, 网站用途

T_PJ06_09, PJ0609004, 其他网站用途

T_PJ06_09, PJB0609007, 企业已开展的电子商务

T_PJ06_09, PJ0609008, 其他企业已开展的电子商务

T_PJ06_09, PJ0609010, 其他原因

T_PJ06_09, PJB0609011, 您认为电子商务行业平台主要提供服务应该是

T_PJ06_09, PJ0609012, 企业开展电子商务存在的主要问题

T_PJ06_09, PJ0609015, 用了第三方服务平台的服务名称

T_PJ06_09, PJ0609016, 经电子商务产生的销售额占总销售额的百分比

T_PJ06_10, PJ0610001, 流水号

T_PJ06_10, PJ000, 项目流水号

T_PJ06_10, PJB0610002, 企业是否应用信息化系统

T_PJ06_10, PJB0610003, 已有信息化应用的部门

T_PJ06_10, PJ0610004, 其他已有信息化应用的部门

T_PJ06_10, PJB0610005, 已有的信息化应用

T_PJ06_10, PJ0610006, 其他已有的信息化应用

T_PJ06_10, PJB0610007, 办公自动化系统应用程度

T_PJ06_10, PJB0610008, OA系统，已实现的功能

T_PJ06_10, PJ0610009, OA系统，已实现的其他功能

T_PJ06_10, PJB0610010, 实施ERP(全部或部分模块)情况

T_PJ06_10, PJB0610011, 采购管理系统覆盖的业务范围和内容

T_PJ06_10, PJB0610012, 销售管理系统覆盖的销售管理业务

T_PJ06_10, PJB0610013, 质量管理信息系统应用覆盖范围

T_PJ06_10, PJB0610014, 设备信息化管理实现的功能

T_PJ06_10, PJB0610015, 财务信息化管理实现的层级

T_PJ06_10, PJB0610016, 企业编码情况（编码实现了企业级统一）

T_PJ06_10, PJB0610017, 企业编码情况（产品编码标准化情况）

T_PJ06_10, PJB0610018, 企业编码情况（产品编码实现程度）

T_PJ06_10, PJB0610019, 产品数据管理覆盖范围

T_PJ06_10, PJB0610020, 产品模型传递和关联维护实现程度

T_PJ06_10, PJB0610021, 车间制造执行系统与经营管理系统集成情况

T_PJ06_10, PJB0610022, 过程控制系统与车间制造执行系统集成情况

T_PJ06_10, PJB0610023, 按照用户订单自动排产和动态调度能力

T_PJ06_10, PJB0610024, 供应链管理集成运作水平

T_PJ06_10, PJB0610025, 用户订单全过程跟踪管理水平

T_PJ06_10, PJB0610026, 实现与财务系统集成的业务系统范围

T_PJ06_10, PJB0610027, 产品全成本核算精度

T_PJ06_10, PJB0610028, 能按需自动采集信息并分析的业务内容

T_PJ06_10, PJB0610029, 综合运用信息化手段可实现的决策支持内容

T_PJ06_10, PJB0610030, 企业已采取的信息化安全措施有

T_PJ06_10, PJB0610031, 新项目上马，您希望在哪些方面获得进一步的帮助

T_PJ06_10, PJ0610032, 新项目上马，您希望在哪些方面获得进一步的帮助（其他）

T_PJ06_10, PJB0610033, 企业未来最需要解决哪方面的问题

T_PJ06_10, PJ0610034, 企业未来最需要解决哪方面的问题（其他）

T_PJ06_10, PJB0610035, 企业希望信息服务机构能提供什么样的信息服务

T_PJ06_10, PJ0610036, 企业希望信息服务机构能提供什么样的信息服务（其他）

T_PJ06_10, PJ0610039, 认为比较合适利用互联网提供的企业级应用或服务有（其他）

T_PJ06_10, PJB0610040, 在企业管理方面，企业目前急需解决的问题

T_PJ06_11, PJ0611001, 流水号

T_PJ06_11, PJ000, 项目流水号

T_PJ06_11, PJ0611002, 指标

T_PJ06_11, PJB0611003, 系统状态

T_PJ06_11, PJ0611004, 品牌(或服务提供商)

T_PJ06_11, PJB0611005, 满意度

T_PJ06_12, PJ0612001, 流水号

T_PJ06_12, PJ000, 项目流水号

T_PJ06_12, PJ0612003, 产品名称

T_PJ06_12, PJ0612004, 版本

T_PJ06_12, PJB0612005, 功能模块评价（总体情况）

T_PJ06_12, PJB0612006, 功能模块评价（工程数据管理）

T_PJ06_12, PJB0612007, 功能模块评价（销售管理）

T_PJ06_12, PJB0612008, 功能模块评价（采购管理）

T_PJ06_12, PJB0612009, 功能模块评价（供应商管理）

T_PJ06_12, PJB0612010, 功能模块评价（库存管理）

T_PJ06_12, PJB0612011, 功能模块评价（生产管理）

T_PJ06_12, PJB0612012, 功能模块评价（质量管理）

T_PJ06_12, PJB0612013, 功能模块评价（财务管理）

T_PJ06_12, PJB0612014, 功能模块评价（成本管理）

T_PJ06_12, PJB0612015, 功能模块评价（条形码）

T_PJ06_12, PJB0612016, 功能模块评价（与PLM集成）

T_PJ06_12, PJB0612017, 功能模块评价（与CRM集成）

T_PJ06_12, PJB0612018, 功能模块评价（与SCM集成）

T_PJ08_02, PJ0802011, 总投资

T_PJ08_02, PJ0802012, 流动资金

T_PJ08_02, PJ0802013, 固定资产投资

T_PJ08_02, PJ0802016, 安装工程费用

T_PJ08_02, PJ0802017, 其他费用

T_PJ08_03, PJ0803001, 流水号

T_PJ08_03, PJ000, 项目流水号

T_PJ08_03, PJ0803002, 营业收入

T_PJ08_03, PJ0803003, 生产性服务企业数

T_PJ08_03, PJB0803004, 生产性服务业增加值

T_PJ08_03, PJ0803008, 年末就业人数

T_PJ08_04, PJ0804001, 流水号

T_PJ08_04, PJ000, 项目流水号

T_PJ08_04, PJ0804005, 年末就业人数

T_PJ08_05, PJ0805002, 年度

T_PJ08_05, PJ0805003, 总资产

T_PJ08_05, PJB0805004, 负债总额

T_PJ08_05, PJ0805007, 净利润

T_PJ08_05, PJ0805008, 税金

T_PJ08_05, PJ0805009, 职工人数

T_PJ08_05, PJ0805010, 资产负债率

T_PJ08_05, PJ0805011, 现金流动负债比率

T_PJ08_05, PJ0805014, 净资产收益率

T_PJ08_05, PJ0805015, 出口创汇

T_PJ08_05, PJ0805016, 研发投入

T_PJ08_06, PJ0806001, 流水号

T_PJ08_06, PJ000, 项目流水号

T_PJ08_06, PJ0806002, 年度

T_PJ08_06, PJ0806003, 项目名称

T_PJ08_02, PJ0802010, 项目主要内容

T_PJ08_06, PJB0806004, 资金用途

T_PJ08_06, PJ0806007, 专项资金金额

T_PJ08_06, PJ0806008, 资金下达文号

T_PJ08_06, PJ0806009, 项目建设内容

T_PJ08_07, PJ0807001, 流水号

T_PJ08_07, PJ000, 项目流水号

T_PJ08_07, PJ0807002, 合计

T_PJ08_07, PJ0807003, 自筹资金

T_PJ08_07, PJ0807004, 银行贷款

T_PJ08_07, PJ0807007, 申请财政补助资金类别（以奖代补）

T_PJ08_08, PJ0808001, 流水号

T_PJ08_08, PJ000, 项目流水号

T_PJ08_08, PJB0807003, 贷款类型

T_PJ08_08, PJ0808004, 贷款金额

T_PJ08_08, PJ0808005, 贷款合同号

T_PJ08_08, PJ0808008, 利息支付凭证

T_PJ08_09, PJ0809001, 流水号

T_PJ08_09, PJ000, 项目流水号

T_PJ08_09, PJ0809002, 合计

T_PJ08_09, PJ0809005, 其他资金

T_PJ08_10, PJ0810001, 流水号

T_PJ08_10, PJ000, 项目流水号

T_PJ08_10, PJ0810002, 年度

T_PJ08_10, PJ0810004, 年度项目利润

T_PJ08_10, PJ0810005, 年度项目上缴税金

T_PJ08_10, PJ0810008, 年度新增就业人数（人）

T_PJ08_11, PJ0811001, 流水号

T_PJ08_11, PJ000, 项目流水号

T_PJ08_11, PJ0811004, 计划数量

T_PJ08_11, PJ0811005, 计划支出金额

T_PJ09_01, PJ000, 项目流水号

T_PJ09_01, PJ0901002, 企业名称

T_PJ09_01, PJ0901003, 企业法人代表

T_PJ09_01, PJB0901004, 企业登记注册类型

T_PJ09_01, PJ0901010, 职工人数

T_PJ09_01, PJ0901011, 联系人

T_PJ09_01, PJ0901013, 联系电话

T_PJ09_01, PJ7097, 填报单位

T_PJ09_01, PJ7098, 填报时间

T_PJ09_01, PJB0901017, 银行信用等级

T_PJ09_01, PJB0901018, 有无国家或省认定的技术中心

T_PJ09_01, PJ0901019, 企业总资产

T_PJ09_01, PJ0901022, 企业贷款余额

T_PJ09_01, PJ0901023, 其中：中长期贷款余额

T_PJ09_01, PJ0901025, 流动资产

T_PJ09_01, PJ0901026, 其中：流动负债

T_PJ09_01, PJ0901029, 产成品资金占用

T_PJ09_01, PJ0901030, 拟申请资金金额

T_PJ09_02, PJ000, 项目流水号

T_PJ09_02, PJ0902002, 项目开始时间

T_PJ09_02, PJ0902003, 项目结束时间

T_PJ09_02, PJ0902004, 项目责任人

T_PJ09_02, PJ0902007, 项目经济社会效益分析

T_PJ09_02, PJ0902008, 项目总投资

T_PJ09_02, PJ0902009, 固定资产投资

T_PJ09_02, PJ0902011, 土建投资

T_PJ09_02, PJ0902012, 其他

T_PJ09_02, PJ0902013, 铺底流动资金

T_PJ09_03, PJ0903001, 流水号

T_PJ09_03, PJ000, 项目流水号

T_PJ09_03, PJ0903002, 年度

T_PJ09_03, PJ0903003, 销售收入

T_PJ09_03, PJ0903004, 利润

T_PJ09_03, PJ0903005, 税金

T_PJ09_03, PJ0903006, 出口创汇

T_PJ09_04, PJ000, 项目流水号

T_PJ09_04, PJ0904002, 年度

T_PJ09_04, PJ0904003, 指标

T_PJ09_04, PJ0904004, 资金

T_PJ09_05, PJ0905001, 流水号

T_PJ09_05, PJ000, 项目流水号

T_PJ09_05, PJ0905002, 年度

