当前数据库信息：
jdbc:oracle:thin:@192.168.10.213:1521:testdb, yn01700_p, yn01700_p
==================


1、数据库实例信息


2、安装环境信息


3、数据库产品信息

product, status, version

NLSRTL, Production, 11.2.0.4.0

Oracle Database 11g Enterprise Edition, 64bit Production, 11.2.0.4.0

PL/SQL, Production, 11.2.0.4.0

TNS for Linux:, Production, 11.2.0.4.0


4、数据库安装配置信息

parameter, value
AE23, 621

AC24, 570

AC43_180, 551

AE10, 542

AB30, 537

AE01, 520

AC41, 518

APPROVEERROR, 486

AC36, 478

AB02, 473

AC04_4, 469

AE19, 456

AC21, 435

AC04_5, 431

AC41A1, 368

AD50, 366

AC17, 362

AC38, 335

AE22, 312

AD21, 306

AC41A2, 303

AB32, 250

AC05, 242

AC43A2, 220

AB01, 213

AE18, 200

AC43_4, 198

AD10, 193

AC92, 190

AC44_4, 178

AF01A1, 174

AD50A1, 171

AB25A1, 163

AC93, 150

AE03A1, 146

AD11A2, 144

AB34, 141

AE55, 129

AE04A1, 129

AD11, 126

AC23, 126

AE15, 119

AE16, 118

AD11A1, 118

AB33, 114

AC43_5, 109

AE29A1, 105

AE29, 104

AC50, 100

AB58, 87

AC31, 77

AC44_5, 76

AC52, 76

AB58A1, 73

AB22, 62

AE28, 61

AD11A3, 60

AC41A6, 60

AB25, 58

AB59, 58

AC41A5, 56

AC29, 56

AC30, 49

AB22A1, 49

AB18A1, 48

AB19, 46

AE44, 41

AE03, 40

AE44A1, 36

AE54, 36

TMP_AA05, 35

AB18, 31

AB25A2, 30

AE37, 19

AC20, 18

AC41A4, 17

AD17, 4

AC19, 4

AE04, 3

TMP_AC04_S420, 2

TMP_AC04_S520, 2

COMP_SERVERADDRESS, 1

IC87I1, 1

IC88I1, 1

IC89I1, 1

IC90I1, 1

IC91I1, 1

CSI_AF01, 1

CSI_AF42, 1

CSI_AF43, 1

AC27, 1

TMP_AC41A4, 1

AC51, 1


6、获取所有列表字段描述

table_name, column_name, comments

AC04_5, AAZ189, 人员缴费基数ID

AC04_5, AAB001, 单位ID

AC04_5, AAC001, 人员ID

AC04_5, AAE140, 险种类型

AC04_5, AAE149, 年月

AC04_5, AAC040, 工资

AC04_5, AAE180, 人员缴费基数

AC04_5, AAZ159, 人员参保关系ID

AC04_5, YAB139, 参保所属机构

AC04_5, AAZ191, 人员缴费基数变更事件ID

AC04_5, AAZ136, 基数核定规则参数ID

AC04_5, YAC084, 险种离退休标志

TMP_RY, AAB001, 单位ID

TMP_RY, AAC001, 人员ID

TMP_RY, AAE140, 险种类型

TMP_RY, AAE002, 做账期号

TMP_RY, AAZ289, 征缴规则参数ID

TMP_RY, AAE180, 人员缴费基数

AC04_1, AAZ189, 人员缴费基数ID

AC04_1, AAB001, 单位ID

AC04_1, AAC001, 人员ID

AC04_1, AAE140, 险种类型

AC04_1, AAE149, 年月

AC04_1, AAC040, 工资

AC04_1, AAE180, 人员缴费基数

AC04_1, AAZ159, 人员参保关系ID

AC04_1, YAB139, 参保所属机构

AC04_1, AAZ191, 人员缴费基数变更事件ID

AC04_1, AAZ136, 基数核定规则参数ID

AC04_1, YAC084, 险种离退休标志

AC04_4, AAZ189, 人员缴费基数ID

AC04_4, AAB001, 单位ID

AC04_4, AAC001, 人员ID

AC04_4, AAE140, 险种类型

AC04_4, AAE149, 年月

AC04_4, AAC040, 工资

AC04_4, AAE180, 人员缴费基数

AC04_4, AAZ159, 人员参保关系ID

AC04_4, YAB139, 参保所属机构

AC04_4, AAZ191, 人员缴费基数变更事件ID

AC04_4, AAZ136, 基数核定规则参数ID

AC04_4, YAC084, 险种离退休标志

TMP_RY, YAC084, 险种离退休标志

TMP_RY, AAZ159, 人员参保关系ID

TMP_RY, YAZ289, 征缴规则类型ID

TMP_RY, AAC040, 工资

TMP_RY, AAZ136, 基数核定规则参数ID

TMP_RY, AKC023, 年龄

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAZ308, 财务接口流水号(自动生成)

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, YAD021, 财务接口数据操作单元号

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAE244, 业务单据编号

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAA157, 基金款项代码

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAE140, 险种类型

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, YKA009, 医疗统筹类别

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAA121, 业务类型代码

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAA038, 费用统计类别（待遇项目统计类别）

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAA039, 收支类型

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAA025, 主体类别

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAB001, 单位ID

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAB004, 参保单位名称

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAB019, 单位类型

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAB020, 经济类型

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAB021, 隶属关系

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAB022, 行业代码

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAA149, 行业风险类别

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAF001, 机构编码

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAF011, 机构名称

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, UFS013, 参保人员类型代码

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAC001, 人员ID

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAC003, 姓名

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAE003, 对应费款所属期

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAE001, 年度

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAE019, 金额

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAA027, 统筹区编码

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAB301, 所属行政区划代码

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAA007, 基金类别代码

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AKA130, 医疗类别代码

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, UFS015, 提取标志

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, UFS016, 提取经办人

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, UFS017, 提取时间(NUMBER8)

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, UFS018, 提取流水号

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAD025, 制证标志

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, UFE010, 扩展项1代码

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, UFE011, 扩展项1代码

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, UFE020, 扩展项2代码

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, UFE021, 扩展项2名称

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, UFE030, 扩展项3代码

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, UFE031, 扩展项3名称

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, UFE040, 扩展项4代码

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, UFE041, 扩展项4名称

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, UFE050, 扩展项5代码

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, UFE051, 扩展项5名称

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, UFE060, 扩展项6代码

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, UFE061, 扩展项6名称

BIN$IGb3SnKLElvgU9UKqMCw9w==$0, AAD131, 会计凭证编号

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, YAD011, 登帐明细ID

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, YAD021, 财务接口数据操作单元号

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, YAD020, 银行进账流水号

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, AAE008, 银行编号

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, UFS004, 银行账号

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, AAE019, 金额

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, UFS005, 摘要

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, AAD127, 附件张数

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, AAA039, 收支类型

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, AAD016, 收/付款结算方式

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, AAD009, 收/付款凭证编号

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, AAB191, 收/付款时间

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, UFS011, 定期存款存期

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, AAE011, 经办人

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, AAE036, 经办时间(NUMBER8)

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, AAA027, 统筹区编码

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, AAB301, 所属行政区划代码

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, UFS015, 提取标志

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, UFS016, 提取经办人

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, UFS017, 提取时间(NUMBER8)

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, UFS018, 提取流水号

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, AAD025, 制证标志

BIN$IGb3SnKSElvgU9UKqMCw9w==$0, AAD131, 会计凭证编号

BIN$IGb3SnKcElvgU9UKqMCw9w==$0, AAD131, 会计凭证编号

BIN$IGb3SnKcElvgU9UKqMCw9w==$0, AAB301, 所属行政区划编码

BIN$IGb3SnKcElvgU9UKqMCw9w==$0, AAA027, 统筹区编码

BIN$IGb3SnKcElvgU9UKqMCw9w==$0, AAD026, 凭证日期

BIN$IGb3SnKcElvgU9UKqMCw9w==$0, AAE197, 凭证制单人

BIN$IGb3SnKcElvgU9UKqMCw9w==$0, AAD080, 基金帐套

BIN$IGb3SnKcElvgU9UKqMCw9w==$0, AAD082, 会计期间

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAZ308, 财务接口流水号(自动生成)

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAE244, 业务单据编号

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAA157, 基金款项代码

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAE140, 险种类型

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, YKA009, 医疗统筹类别

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAA121, 业务类型代码

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAA038, 费用统计类别（待遇项目统计类别）

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAA039, 收支类型

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAE008, 银行编号

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAA025, 主体类别

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAB001, 单位ID

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAB004, 参保单位名称

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAB019, 单位类型

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAB020, 经济类型

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAB021, 隶属关系

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAB022, 行业代码

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAA149, 行业风险类别

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAF001, 机构编码

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAF011, 机构名称

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, UFS013, 参保人员类型代码

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAC001, 人员ID

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAC003, 姓名

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAD127, 附件张数

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAE011, 经办人

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAE036, 经办时间(DATE)

BIN$I5o4RVJmdXbgU9UKqMC0Rg==$0, YAE583, 人员核定事件ID

BIN$I5o4RVJmdXbgU9UKqMC0Rg==$0, AAZ083, 当事人征缴计划事件ID

BIN$I5o4RVJmdXbgU9UKqMC0Rg==$0, AAC001, 人员ID

BIN$I5o4RVJmdXbgU9UKqMC0Rg==$0, AAB001, 单位ID

BIN$I5o4RVJmdXbgU9UKqMC0Rg==$0, AAA028, 当事人类别

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAE003, 对应费款所属期

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAE001, 年度

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAE019, 金额

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAA027, 统筹区编码

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAB301, 所属行政区划代码

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AAA007, 基金类别代码

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, AKA130, 医疗类别代码

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, UFS005, 摘要

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, UFS004, 银行账号

BIN$IGb3SnKkElvgU9UKqMCw9w==$0, UFS015, 提取标志

AE01, AAA028, 当事人类别

AE01, AAZ010, 当事人ID

BIN$I5o4RVJmdXbgU9UKqMC0Rg==$0, YAC558, 补收补缴业务类型

BIN$I5o4RVJmdXbgU9UKqMC0Rg==$0, AAF002, 金融行业机构编码

BIN$I5o4RVJmdXbgU9UKqMC0Rg==$0, AAE008, 银行编号

BIN$I5o4RVJmdXbgU9UKqMC0Rg==$0, AAE009, 户名

BIN$I5o4RVJmdXbgU9UKqMC0Rg==$0, AAE010, 银行账号

BIN$I5o4RVJmdXbgU9UKqMC0Rg==$0, AAE013, 备注

BIN$JRm33Vu8WnfgU9UKqMB0Pg==$0, YAE590, 个人补退核定事件明细ID

BIN$JRm33Vu8WnfgU9UKqMB0Pg==$0, YAE583, 个人补退核定事件ID

BIN$JRm33Vu8WnfgU9UKqMB0Pg==$0, AAZ159, 人员参保关系ID

BIN$JRm33Vu8WnfgU9UKqMB0Pg==$0, AAE140, 险种类型

BIN$JRm33Vu8WnfgU9UKqMB0Pg==$0, AAE041, 开始年月

BIN$JRm33Vu8WnfgU9UKqMB0Pg==$0, AAE042, 终止年月

BIN$JRm33Vu8WnfgU9UKqMB0Pg==$0, AAA115, 应缴类型

BIN$JRm33Vu8WnfgU9UKqMB0Pg==$0, YAZ137, 基数核定规则模式

BIN$JRm33Vu8WnfgU9UKqMB0Pg==$0, AAZ136, 基数核定规则参数ID

BIN$JRm33Vu8WnfgU9UKqMB0Pg==$0, AAC040, 工资

BIN$JRm33Vu8WnfgU9UKqMB0Pg==$0, YAZ138, 征缴规则模式

BIN$JRm33Vu8WnfgU9UKqMB0Pg==$0, YAZ289, 征缴规则类型ID

BIN$JRm33Vu8WnfgU9UKqMB0Pg==$0, YAC120, 人员类型

BIN$JRm33Vu8WnfgU9UKqMB0Pg==$0, YAC121, 人员类别

BIN$JRm33Vu8WnfgU9UKqMB0Pg==$0, YAC084, 险种离退休标志

BIN$JRm33Vu8WnfgU9UKqMB0Pg==$0, AJA004, 农民工标志

BIN$I8cBxdc8YIrgU9UKqMBT7Q==$0, YAE590, 人员核定事件明细ID

BIN$I8cBxdc8YIrgU9UKqMBT7Q==$0, YAE583, 人员核定事件ID

BIN$I8cBxdc8YIrgU9UKqMBT7Q==$0, YAE567, 人员核定明细ID

BIN$I8cBxdc8YIrgU9UKqMBT7Q==$0, AAZ159, 人员参保关系ID

BIN$I8cBxdc8YIrgU9UKqMBT7Q==$0, AAE140, 险种类型

BIN$I8cBxdc8YIrgU9UKqMBT7Q==$0, AAE003, 对应费款所属期

BIN$I8cBxdc8YIrgU9UKqMBT7Q==$0, YAE591, 退收类型

BIN$I8cBxdc8YIrgU9UKqMBT7Q==$0, YAE609, 退收范围

AE15, AAZ015, 组织状态演变事件ID

AE15, AAZ001, 组织ID

AE15, AAA066, 组织状态演变事件类型

AE15, AAE035, 变更日期

AE15, AAZ002, 业务日志ID

AE15, AAE011, 经办人

AE15, AAE036, 经办时间

AE15, YAB003, 经办所属机构

AE15, AAE160, 变更原因

AE15, AAE014, 复核人

AE15, AAE015, 复核时间

AE15, AAE016, 复核标志

AE15, YAB004, 复核经办机构

AE15, AAE013, 备注

AE16, AAZ016, 组织状态演变明细ID

AE16, AAZ015, 组织状态演变事件ID

AE16, AAZ001, 组织ID

AE16, AAA059, 组织状态类型

AE16, AAA144, 演变前组织状态

AE16, AAA145, 演变后组织状态

BIN$I8cBxdc8YIrgU9UKqMBT7Q==$0, YAE585, 退收方式

BIN$I8cBxdc8YIrgU9UKqMBT7Q==$0, AAE013, 备注

BIN$JVU2ZdO4IkngU9UKqMBDxw==$0, YAE590, 人员核定事件明细ID

BIN$JVU2ZdO4IkngU9UKqMBDxw==$0, YAE583, 人员核定事件ID

BIN$JVU2ZdO4IkngU9UKqMBDxw==$0, AAZ159, 人员参保关系ID

BIN$JVU2ZdO4IkngU9UKqMBDxw==$0, AAE140, 险种类型

BIN$JVU2ZdO4IkngU9UKqMBDxw==$0, AAE003, 对应费款所属期

BIN$JVU2ZdO4IkngU9UKqMBDxw==$0, AAZ136, 基数核定规则参数ID

BIN$JVU2ZdO4IkngU9UKqMBDxw==$0, YAZ289, 征缴规则类型ID

BIN$JVU2ZdO4IkngU9UKqMBDxw==$0, AAC040, 工资

BIN$JVU2ZdO4IkngU9UKqMBDxw==$0, AAE180, 基数

BIN$JVU2ZdO4IkngU9UKqMBDxw==$0, AAE013, 备注

BIN$JVU2ZdO4IkngU9UKqMBDxw==$0, YAE588, 原人员核定明细ID

BIN$JVU2ZdO4IkngU9UKqMBDxw==$0, YAE567, 人员核定事件ID

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, YAE590, 人员核定事件明细ID

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, YAE583, 人员核定事件ID

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, AAC001, 人员ID

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, AAE140, 险种类型

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, YAD001, 应处理金额

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, AAA093, 承担缴费主体类型

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, YAE518, 当事人核定ID

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, AAE020, 单位缴费部分

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, AAE022, 个人缴费部分

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, AAC040, 工资

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, AAE180, 人员缴费基数

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, AAE041, 开始年月

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, AAE042, 终止年月

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, YAZ289, 征缴规则类型ID

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, AAZ136, 基数规则类型ID

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, AAE013, 备注

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, AAE023, 个人应缴划入个人账户金额

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, AAE021, 单位应缴划入个人账户金额

BIN$JSzhP1kCdpXgU9UKqMA+xA==$0, YAC597, 退休行政审批时间

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, YAE590, 个人补退核定事件明细ID

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, YAE583, 个人补退核定事件ID

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, AAZ159, 人员参保关系ID

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, AAE140, 险种类型

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, AAE041, 开始年月

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, AAE042, 终止年月

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, AAA115, 应缴类型

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, YAE250, 账户处理标志

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, AAE079, 到账年月

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, YAC120, 特殊人员类型

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, YAC121, 特殊人员类别

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, YAC084, 险种离退休标志

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, AJA004, 农民工标示

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, AAE180, 人员缴费基数

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, AAA041, 个人缴费比例或定额标准

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, AAA045, 个人缴费划入个人账户比例或定额标准

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, AAA042, 单位缴费比例或定额标准

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, AAA043, 单位缴费划入个人账户比例或定额标准

BIN$I5o4RVKWdXbgU9UKqMC0Rg==$0, YAE567, 人员核定明细ID

BIN$I7Ivk4aNG5/gU9UKqMDVvA==$0, YAE590, 人员核定事件明细ID

BIN$I7Ivk4aNG5/gU9UKqMDVvA==$0, YAE583, 人员核定事件ID

BIN$I7Ivk4aNG5/gU9UKqMDVvA==$0, YAE567, 人员核定事件ID

BIN$I7Ivk4aNG5/gU9UKqMDVvA==$0, AAZ159, 人员参保关系ID

BIN$I7Ivk4aNG5/gU9UKqMDVvA==$0, AAE140, 险种类型

BIN$I7Ivk4aNG5/gU9UKqMDVvA==$0, AAE003, 对应费款所属期

BIN$I7Ivk4aNG5/gU9UKqMDVvA==$0, AAE013, 备注

BIN$JKUKro/0W0ngU9UKqMDrCQ==$0, YAD012, 登帐事件ID

BIN$JKUKro/0W0ngU9UKqMDrCQ==$0, AAE011, 经办人

BIN$JKUKro/0W0ngU9UKqMDrCQ==$0, AAE036, 经办时间

BIN$JKUKro/0W0ngU9UKqMDrCQ==$0, YAB003, 经办所属机构

BIN$JKUKro/0W0ngU9UKqMDrCQ==$0, AAZ002, 业务日志ID

BIN$JKUKro/0W0ngU9UKqMDrCQ==$0, AAE014, 复核人

BIN$JKUKro/0W0ngU9UKqMDrCQ==$0, AAE015, 复核时间

BIN$JKUKro/0W0ngU9UKqMDrCQ==$0, AAE016, 复核标志

BIN$JKUKro/0W0ngU9UKqMDrCQ==$0, YAB004, 复核经办机构

BIN$JKUKro/0W0ngU9UKqMDrCQ==$0, YAE819, 是否立即实收分配

BIN$JKVzdujbZqDgU9UKqMBrug==$0, YAD011, 登帐明细ID

BIN$JKVzdujbZqDgU9UKqMBrug==$0, YAD010, 登帐ID

BIN$JKVzdujbZqDgU9UKqMBrug==$0, YAD012, 登帐事件ID

AE22, AAZ022, 征集通知执行批次ID

AE22, AAZ010, 当事人ID

AE22, AAZ002, 业务日志ID

AE22, AAE011, 经办人

AE22, YAB003, 经办所属机构

AE22, AAE036, 经办时间

AE22, AAE014, 复核人

AE22, AAE015, 复核时间

AE22, AAE016, 复核标志

AE22, YAB004, 复核经办机构

AE22, AAE013, 备注

AE22, YAD159, 是否使用待转金

AE22, YAE115, 是否产生财务接口

AE22, YAE579, 滞纳金征收标志

AE22, YAE581, 利息征收标志

BIN$JKVzdujbZqDgU9UKqMBrug==$0, AAD009, 收/付款凭证编号

BIN$JKVzdujbZqDgU9UKqMBrug==$0, AAD016, 收/付款结算方式

BIN$JKVzdujbZqDgU9UKqMBrug==$0, AAD017, 缴费日期

BIN$JKVzdujbZqDgU9UKqMBrug==$0, AAD127, 附件张数

